Sender,Receiver,Sent qubit,Received qubit,Sent Timestamp,Received Timestamp,Duration,Throughput,Error
Node0,Node1,1,1,1587584903.463572,1587584903.6775901,0.2140181064605713,4.672501857613765,0
Node1,Node2,1,1,1587584903.8767512,1587584904.091203,0.21445178985595703,4.6630527106893345,0
Node2,Node3,1,1,1587584904.290551,1587584904.5032582,0.2127072811126709,4.701296517773177,0
Node3,Node4,0,0,1587584904.701807,1587584904.9155169,0.21370983123779297,4.679241915114842,0
Node4,Node5,0,0,1587584905.115673,1587584905.3270028,0.21132969856262207,4.73194258450937,0
Node5,Node6,0,0,1587584905.5276978,1587584905.7447639,0.21706604957580566,4.606892703645816,0
Node6,Node7,0,0,1587584905.931353,1587584906.1448908,0.21353769302368164,4.6830139721004596,0
Node7,Node8,0,0,1587584906.341584,1587584906.5560682,0.21448421478271484,4.662347767704299,0
Node8,Node9,1,1,1587584906.75027,1587584906.9617631,0.21149325370788574,4.728283207469109,0
Node0,Node1,1,1,1587584903.463572,1587584903.6775901,0.2140181064605713,4.672501857613765,0
Node1,Node2,1,1,1587584903.8767512,1587584904.091203,0.21445178985595703,4.6630527106893345,0
Node2,Node3,1,1,1587584904.290551,1587584904.5032582,0.2127072811126709,4.701296517773177,0
Node3,Node4,0,0,1587584904.701807,1587584904.9155169,0.21370983123779297,4.679241915114842,0
Node4,Node5,0,0,1587584905.115673,1587584905.3270028,0.21132969856262207,4.73194258450937,0
Node5,Node6,0,0,1587584905.5276978,1587584905.7447639,0.21706604957580566,4.606892703645816,0
Node6,Node7,0,0,1587584905.931353,1587584906.1448908,0.21353769302368164,4.6830139721004596,0
Node7,Node8,0,0,1587584906.341584,1587584906.5560682,0.21448421478271484,4.662347767704299,0
Node8,Node9,1,1,1587584906.75027,1587584906.9617631,0.21149325370788574,4.728283207469109,0
Node0,Node1,0,0,1587585029.4215171,1587585029.636246,0.21472883224487305,4.657036456378701,0
Node1,Node2,0,0,1587585029.833629,1587585030.047549,0.21392011642456055,4.674642182857321,0
Node2,Node3,1,1,1587585030.244813,1587585030.4591649,0.21435189247131348,4.6652258978018075,0
Node3,Node4,0,0,1587585030.6566021,1587585030.8666828,0.21008062362670898,4.760077263369582,0
Node4,Node5,1,1,1587585031.0617862,1587585031.271543,0.20975685119628906,4.7674247315250105,0
Node5,Node6,1,1,1587585031.4695868,1587585031.681834,0.21224713325500488,4.71148884163513,0
Node6,Node7,1,1,1587585031.8769379,1587585032.0886688,0.21173095703125,4.722974920726434,0
Node7,Node8,0,0,1587585032.295522,1587585032.506222,0.21070003509521484,4.74608368977301,0
Node8,Node9,1,1,1587585032.703729,1587585032.913533,0.20980405807495117,4.7663520390189795,0
Node0,Node1,1,1,1587584903.463572,1587584903.6775901,0.2140181064605713,4.672501857613765,0
Node1,Node2,1,1,1587584903.8767512,1587584904.091203,0.21445178985595703,4.6630527106893345,0
Node2,Node3,1,1,1587584904.290551,1587584904.5032582,0.2127072811126709,4.701296517773177,0
Node3,Node4,0,0,1587584904.701807,1587584904.9155169,0.21370983123779297,4.679241915114842,0
Node4,Node5,0,0,1587584905.115673,1587584905.3270028,0.21132969856262207,4.73194258450937,0
Node5,Node6,0,0,1587584905.5276978,1587584905.7447639,0.21706604957580566,4.606892703645816,0
Node6,Node7,0,0,1587584905.931353,1587584906.1448908,0.21353769302368164,4.6830139721004596,0
Node7,Node8,0,0,1587584906.341584,1587584906.5560682,0.21448421478271484,4.662347767704299,0
Node8,Node9,1,1,1587584906.75027,1587584906.9617631,0.21149325370788574,4.728283207469109,0
Node0,Node1,0,0,1587585029.4215171,1587585029.636246,0.21472883224487305,4.657036456378701,0
Node1,Node2,0,0,1587585029.833629,1587585030.047549,0.21392011642456055,4.674642182857321,0
Node2,Node3,1,1,1587585030.244813,1587585030.4591649,0.21435189247131348,4.6652258978018075,0
Node3,Node4,0,0,1587585030.6566021,1587585030.8666828,0.21008062362670898,4.760077263369582,0
Node4,Node5,1,1,1587585031.0617862,1587585031.271543,0.20975685119628906,4.7674247315250105,0
Node5,Node6,1,1,1587585031.4695868,1587585031.681834,0.21224713325500488,4.71148884163513,0
Node6,Node7,1,1,1587585031.8769379,1587585032.0886688,0.21173095703125,4.722974920726434,0
Node7,Node8,0,0,1587585032.295522,1587585032.506222,0.21070003509521484,4.74608368977301,0
Node8,Node9,1,1,1587585032.703729,1587585032.913533,0.20980405807495117,4.7663520390189795,0
Node0,Node1,1,1,1587585066.4157052,1587585066.6288278,0.21312260627746582,4.692134811349355,0
Node1,Node2,0,0,1587585066.8263738,1587585067.039426,0.21305227279663086,4.693683793528692,0
Node2,Node3,0,0,1587585067.2399008,1587585067.4537559,0.21385502815246582,4.67606494286896,0
Node3,Node4,1,1,1587585067.652365,1587585067.923865,0.2715001106262207,3.683239751517887,0
Node4,Node5,0,0,1587585068.121374,1587585068.331479,0.21010518074035645,4.759520905083149,0
Node5,Node6,0,0,1587585068.530884,1587585068.743427,0.21254301071166992,4.704930059340191,0
Node6,Node7,1,1,1587585068.939507,1587585069.160204,0.22069692611694336,4.531100716237968,0
Node7,Node8,1,1,1587585069.360831,1587585069.575958,0.21512699127197266,4.648417170190223,0
Node8,Node9,0,0,1587585069.7756538,1587585069.988023,0.21236920356750488,4.708780666882966,0
Node0,Node1,1,1,1587584903.463572,1587584903.6775901,0.2140181064605713,4.672501857613765,0
Node1,Node2,1,1,1587584903.8767512,1587584904.091203,0.21445178985595703,4.6630527106893345,0
Node2,Node3,1,1,1587584904.290551,1587584904.5032582,0.2127072811126709,4.701296517773177,0
Node3,Node4,0,0,1587584904.701807,1587584904.9155169,0.21370983123779297,4.679241915114842,0
Node4,Node5,0,0,1587584905.115673,1587584905.3270028,0.21132969856262207,4.73194258450937,0
Node5,Node6,0,0,1587584905.5276978,1587584905.7447639,0.21706604957580566,4.606892703645816,0
Node6,Node7,0,0,1587584905.931353,1587584906.1448908,0.21353769302368164,4.6830139721004596,0
Node7,Node8,0,0,1587584906.341584,1587584906.5560682,0.21448421478271484,4.662347767704299,0
Node8,Node9,1,1,1587584906.75027,1587584906.9617631,0.21149325370788574,4.728283207469109,0
Node0,Node1,0,0,1587585029.4215171,1587585029.636246,0.21472883224487305,4.657036456378701,0
Node1,Node2,0,0,1587585029.833629,1587585030.047549,0.21392011642456055,4.674642182857321,0
Node2,Node3,1,1,1587585030.244813,1587585030.4591649,0.21435189247131348,4.6652258978018075,0
Node3,Node4,0,0,1587585030.6566021,1587585030.8666828,0.21008062362670898,4.760077263369582,0
Node4,Node5,1,1,1587585031.0617862,1587585031.271543,0.20975685119628906,4.7674247315250105,0
Node5,Node6,1,1,1587585031.4695868,1587585031.681834,0.21224713325500488,4.71148884163513,0
Node6,Node7,1,1,1587585031.8769379,1587585032.0886688,0.21173095703125,4.722974920726434,0
Node7,Node8,0,0,1587585032.295522,1587585032.506222,0.21070003509521484,4.74608368977301,0
Node8,Node9,1,1,1587585032.703729,1587585032.913533,0.20980405807495117,4.7663520390189795,0
Node0,Node1,1,1,1587585066.4157052,1587585066.6288278,0.21312260627746582,4.692134811349355,0
Node1,Node2,0,0,1587585066.8263738,1587585067.039426,0.21305227279663086,4.693683793528692,0
Node2,Node3,0,0,1587585067.2399008,1587585067.4537559,0.21385502815246582,4.67606494286896,0
Node3,Node4,1,1,1587585067.652365,1587585067.923865,0.2715001106262207,3.683239751517887,0
Node4,Node5,0,0,1587585068.121374,1587585068.331479,0.21010518074035645,4.759520905083149,0
Node5,Node6,0,0,1587585068.530884,1587585068.743427,0.21254301071166992,4.704930059340191,0
Node6,Node7,1,1,1587585068.939507,1587585069.160204,0.22069692611694336,4.531100716237968,0
Node7,Node8,1,1,1587585069.360831,1587585069.575958,0.21512699127197266,4.648417170190223,0
Node8,Node9,0,0,1587585069.7756538,1587585069.988023,0.21236920356750488,4.708780666882966,0
Node0,Node1,1,1,1587585071.885334,1587585072.103572,0.21823787689208984,4.58215601361656,0
Node1,Node2,0,0,1587585072.303908,1587585072.517778,0.21386981010437012,4.67574174920711,0
Node2,Node3,0,0,1587585072.715314,1587585072.933863,0.21854901313781738,4.575632649365469,0
Node3,Node4,1,1,1587585073.132291,1587585073.34226,0.20996880531311035,4.76261222951084,0
Node4,Node5,1,1,1587585073.542309,1587585073.7528121,0.21050310134887695,4.750523833578355,0
Node5,Node6,1,1,1587585073.949877,1587585074.161233,0.21135592460632324,4.7313554226720855,0
Node6,Node7,1,1,1587585074.356608,1587585074.569948,0.21334004402160645,4.687352552991519,0
Node7,Node8,0,0,1587585074.765431,1587585074.9761899,0.21075892448425293,4.74475755865188,0
Node8,Node9,1,1,1587585075.175576,1587585075.389449,0.21387290954589844,4.675673988459926,0
Node0,Node1,1,1,1587584903.463572,1587584903.6775901,0.2140181064605713,4.672501857613765,0
Node1,Node2,1,1,1587584903.8767512,1587584904.091203,0.21445178985595703,4.6630527106893345,0
Node2,Node3,1,1,1587584904.290551,1587584904.5032582,0.2127072811126709,4.701296517773177,0
Node3,Node4,0,0,1587584904.701807,1587584904.9155169,0.21370983123779297,4.679241915114842,0
Node4,Node5,0,0,1587584905.115673,1587584905.3270028,0.21132969856262207,4.73194258450937,0
Node5,Node6,0,0,1587584905.5276978,1587584905.7447639,0.21706604957580566,4.606892703645816,0
Node6,Node7,0,0,1587584905.931353,1587584906.1448908,0.21353769302368164,4.6830139721004596,0
Node7,Node8,0,0,1587584906.341584,1587584906.5560682,0.21448421478271484,4.662347767704299,0
Node8,Node9,1,1,1587584906.75027,1587584906.9617631,0.21149325370788574,4.728283207469109,0
Node0,Node1,0,0,1587585029.4215171,1587585029.636246,0.21472883224487305,4.657036456378701,0
Node1,Node2,0,0,1587585029.833629,1587585030.047549,0.21392011642456055,4.674642182857321,0
Node2,Node3,1,1,1587585030.244813,1587585030.4591649,0.21435189247131348,4.6652258978018075,0
Node3,Node4,0,0,1587585030.6566021,1587585030.8666828,0.21008062362670898,4.760077263369582,0
Node4,Node5,1,1,1587585031.0617862,1587585031.271543,0.20975685119628906,4.7674247315250105,0
Node5,Node6,1,1,1587585031.4695868,1587585031.681834,0.21224713325500488,4.71148884163513,0
Node6,Node7,1,1,1587585031.8769379,1587585032.0886688,0.21173095703125,4.722974920726434,0
Node7,Node8,0,0,1587585032.295522,1587585032.506222,0.21070003509521484,4.74608368977301,0
Node8,Node9,1,1,1587585032.703729,1587585032.913533,0.20980405807495117,4.7663520390189795,0
Node0,Node1,1,1,1587585066.4157052,1587585066.6288278,0.21312260627746582,4.692134811349355,0
Node1,Node2,0,0,1587585066.8263738,1587585067.039426,0.21305227279663086,4.693683793528692,0
Node2,Node3,0,0,1587585067.2399008,1587585067.4537559,0.21385502815246582,4.67606494286896,0
Node3,Node4,1,1,1587585067.652365,1587585067.923865,0.2715001106262207,3.683239751517887,0
Node4,Node5,0,0,1587585068.121374,1587585068.331479,0.21010518074035645,4.759520905083149,0
Node5,Node6,0,0,1587585068.530884,1587585068.743427,0.21254301071166992,4.704930059340191,0
Node6,Node7,1,1,1587585068.939507,1587585069.160204,0.22069692611694336,4.531100716237968,0
Node7,Node8,1,1,1587585069.360831,1587585069.575958,0.21512699127197266,4.648417170190223,0
Node8,Node9,0,0,1587585069.7756538,1587585069.988023,0.21236920356750488,4.708780666882966,0
Node0,Node1,1,1,1587585071.885334,1587585072.103572,0.21823787689208984,4.58215601361656,0
Node1,Node2,0,0,1587585072.303908,1587585072.517778,0.21386981010437012,4.67574174920711,0
Node2,Node3,0,0,1587585072.715314,1587585072.933863,0.21854901313781738,4.575632649365469,0
Node3,Node4,1,1,1587585073.132291,1587585073.34226,0.20996880531311035,4.76261222951084,0
Node4,Node5,1,1,1587585073.542309,1587585073.7528121,0.21050310134887695,4.750523833578355,0
Node5,Node6,1,1,1587585073.949877,1587585074.161233,0.21135592460632324,4.7313554226720855,0
Node6,Node7,1,1,1587585074.356608,1587585074.569948,0.21334004402160645,4.687352552991519,0
Node7,Node8,0,0,1587585074.765431,1587585074.9761899,0.21075892448425293,4.74475755865188,0
Node8,Node9,1,1,1587585075.175576,1587585075.389449,0.21387290954589844,4.675673988459926,0
Node0,Node1,1,1,1587585213.9727428,1587585214.188145,0.21540212631225586,4.642479705842637,0
Node1,Node2,1,1,1587585214.380835,1587585214.5921972,0.21136212348937988,4.73121666025581,0
Node2,Node3,1,1,1587585214.7874691,1587585215.004538,0.21706891059875488,4.606831983638914,0
Node3,Node4,0,0,1587585215.194508,1587585215.4044118,0.20990371704101562,4.764089050431622,0
Node4,Node5,0,0,1587585215.600929,1587585215.812323,0.2113940715789795,4.730501629164125,0
Node5,Node6,1,1,1587585216.011441,1587585216.22501,0.21356892585754395,4.682329116863312,0
Node6,Node7,0,0,1587585216.423019,1587585216.633749,0.21073007583618164,4.745407109222438,0
Node7,Node8,1,1,1587585216.831987,1587585217.041613,0.2096261978149414,4.770396116628527,0
Node8,Node9,1,1,1587585217.2376168,1587585217.453044,0.21542716026306152,4.641940221367093,0
Node0,Node1,1,1,1587584903.463572,1587584903.6775901,0.2140181064605713,4.672501857613765,0
Node1,Node2,1,1,1587584903.8767512,1587584904.091203,0.21445178985595703,4.6630527106893345,0
Node2,Node3,1,1,1587584904.290551,1587584904.5032582,0.2127072811126709,4.701296517773177,0
Node3,Node4,0,0,1587584904.701807,1587584904.9155169,0.21370983123779297,4.679241915114842,0
Node4,Node5,0,0,1587584905.115673,1587584905.3270028,0.21132969856262207,4.73194258450937,0
Node5,Node6,0,0,1587584905.5276978,1587584905.7447639,0.21706604957580566,4.606892703645816,0
Node6,Node7,0,0,1587584905.931353,1587584906.1448908,0.21353769302368164,4.6830139721004596,0
Node7,Node8,0,0,1587584906.341584,1587584906.5560682,0.21448421478271484,4.662347767704299,0
Node8,Node9,1,1,1587584906.75027,1587584906.9617631,0.21149325370788574,4.728283207469109,0
Node0,Node1,0,0,1587585029.4215171,1587585029.636246,0.21472883224487305,4.657036456378701,0
Node1,Node2,0,0,1587585029.833629,1587585030.047549,0.21392011642456055,4.674642182857321,0
Node2,Node3,1,1,1587585030.244813,1587585030.4591649,0.21435189247131348,4.6652258978018075,0
Node3,Node4,0,0,1587585030.6566021,1587585030.8666828,0.21008062362670898,4.760077263369582,0
Node4,Node5,1,1,1587585031.0617862,1587585031.271543,0.20975685119628906,4.7674247315250105,0
Node5,Node6,1,1,1587585031.4695868,1587585031.681834,0.21224713325500488,4.71148884163513,0
Node6,Node7,1,1,1587585031.8769379,1587585032.0886688,0.21173095703125,4.722974920726434,0
Node7,Node8,0,0,1587585032.295522,1587585032.506222,0.21070003509521484,4.74608368977301,0
Node8,Node9,1,1,1587585032.703729,1587585032.913533,0.20980405807495117,4.7663520390189795,0
Node0,Node1,1,1,1587585066.4157052,1587585066.6288278,0.21312260627746582,4.692134811349355,0
Node1,Node2,0,0,1587585066.8263738,1587585067.039426,0.21305227279663086,4.693683793528692,0
Node2,Node3,0,0,1587585067.2399008,1587585067.4537559,0.21385502815246582,4.67606494286896,0
Node3,Node4,1,1,1587585067.652365,1587585067.923865,0.2715001106262207,3.683239751517887,0
Node4,Node5,0,0,1587585068.121374,1587585068.331479,0.21010518074035645,4.759520905083149,0
Node5,Node6,0,0,1587585068.530884,1587585068.743427,0.21254301071166992,4.704930059340191,0
Node6,Node7,1,1,1587585068.939507,1587585069.160204,0.22069692611694336,4.531100716237968,0
Node7,Node8,1,1,1587585069.360831,1587585069.575958,0.21512699127197266,4.648417170190223,0
Node8,Node9,0,0,1587585069.7756538,1587585069.988023,0.21236920356750488,4.708780666882966,0
Node0,Node1,1,1,1587585071.885334,1587585072.103572,0.21823787689208984,4.58215601361656,0
Node1,Node2,0,0,1587585072.303908,1587585072.517778,0.21386981010437012,4.67574174920711,0
Node2,Node3,0,0,1587585072.715314,1587585072.933863,0.21854901313781738,4.575632649365469,0
Node3,Node4,1,1,1587585073.132291,1587585073.34226,0.20996880531311035,4.76261222951084,0
Node4,Node5,1,1,1587585073.542309,1587585073.7528121,0.21050310134887695,4.750523833578355,0
Node5,Node6,1,1,1587585073.949877,1587585074.161233,0.21135592460632324,4.7313554226720855,0
Node6,Node7,1,1,1587585074.356608,1587585074.569948,0.21334004402160645,4.687352552991519,0
Node7,Node8,0,0,1587585074.765431,1587585074.9761899,0.21075892448425293,4.74475755865188,0
Node8,Node9,1,1,1587585075.175576,1587585075.389449,0.21387290954589844,4.675673988459926,0
Node0,Node1,1,1,1587585213.9727428,1587585214.188145,0.21540212631225586,4.642479705842637,0
Node1,Node2,1,1,1587585214.380835,1587585214.5921972,0.21136212348937988,4.73121666025581,0
Node2,Node3,1,1,1587585214.7874691,1587585215.004538,0.21706891059875488,4.606831983638914,0
Node3,Node4,0,0,1587585215.194508,1587585215.4044118,0.20990371704101562,4.764089050431622,0
Node4,Node5,0,0,1587585215.600929,1587585215.812323,0.2113940715789795,4.730501629164125,0
Node5,Node6,1,1,1587585216.011441,1587585216.22501,0.21356892585754395,4.682329116863312,0
Node6,Node7,0,0,1587585216.423019,1587585216.633749,0.21073007583618164,4.745407109222438,0
Node7,Node8,1,1,1587585216.831987,1587585217.041613,0.2096261978149414,4.770396116628527,0
Node8,Node9,1,1,1587585217.2376168,1587585217.453044,0.21542716026306152,4.641940221367093,0
Node0,Node1,1,1,1587585265.116373,1587585265.330684,0.214310884475708,4.6661185802410765,0
Node1,Node2,0,0,1587585265.530399,1587585265.7401369,0.20973777770996094,4.767858279603139,0
Node2,Node3,1,1,1587585265.941795,1587585266.15121,0.20941495895385742,4.775208060568111,0
Node3,Node4,0,0,1587585266.3509948,1587585266.561553,0.21055817604064941,4.749281261853943,0
Node4,Node5,1,1,1587585266.758246,1587585266.9699378,0.21169185638427734,4.72384728009911,0
Node5,Node6,0,0,1587585267.170371,1587585267.37972,0.2093489170074463,4.776714464514909,0
Node6,Node7,1,1,1587585267.5864232,1587585267.794278,0.2078547477722168,4.81105200010094,0
Node7,Node8,1,1,1587585267.9933162,1587585268.20722,0.21390390396118164,4.674996488991036,0
Node8,Node9,0,0,1587585268.407587,1587585268.61777,0.21018290519714355,4.757760861008359,0
Node0,Node1,1,1,1587584903.463572,1587584903.6775901,0.2140181064605713,4.672501857613765,0
Node1,Node2,1,1,1587584903.8767512,1587584904.091203,0.21445178985595703,4.6630527106893345,0
Node2,Node3,1,1,1587584904.290551,1587584904.5032582,0.2127072811126709,4.701296517773177,0
Node3,Node4,0,0,1587584904.701807,1587584904.9155169,0.21370983123779297,4.679241915114842,0
Node4,Node5,0,0,1587584905.115673,1587584905.3270028,0.21132969856262207,4.73194258450937,0
Node5,Node6,0,0,1587584905.5276978,1587584905.7447639,0.21706604957580566,4.606892703645816,0
Node6,Node7,0,0,1587584905.931353,1587584906.1448908,0.21353769302368164,4.6830139721004596,0
Node7,Node8,0,0,1587584906.341584,1587584906.5560682,0.21448421478271484,4.662347767704299,0
Node8,Node9,1,1,1587584906.75027,1587584906.9617631,0.21149325370788574,4.728283207469109,0
Node0,Node1,0,0,1587585029.4215171,1587585029.636246,0.21472883224487305,4.657036456378701,0
Node1,Node2,0,0,1587585029.833629,1587585030.047549,0.21392011642456055,4.674642182857321,0
Node2,Node3,1,1,1587585030.244813,1587585030.4591649,0.21435189247131348,4.6652258978018075,0
Node3,Node4,0,0,1587585030.6566021,1587585030.8666828,0.21008062362670898,4.760077263369582,0
Node4,Node5,1,1,1587585031.0617862,1587585031.271543,0.20975685119628906,4.7674247315250105,0
Node5,Node6,1,1,1587585031.4695868,1587585031.681834,0.21224713325500488,4.71148884163513,0
Node6,Node7,1,1,1587585031.8769379,1587585032.0886688,0.21173095703125,4.722974920726434,0
Node7,Node8,0,0,1587585032.295522,1587585032.506222,0.21070003509521484,4.74608368977301,0
Node8,Node9,1,1,1587585032.703729,1587585032.913533,0.20980405807495117,4.7663520390189795,0
Node0,Node1,1,1,1587585066.4157052,1587585066.6288278,0.21312260627746582,4.692134811349355,0
Node1,Node2,0,0,1587585066.8263738,1587585067.039426,0.21305227279663086,4.693683793528692,0
Node2,Node3,0,0,1587585067.2399008,1587585067.4537559,0.21385502815246582,4.67606494286896,0
Node3,Node4,1,1,1587585067.652365,1587585067.923865,0.2715001106262207,3.683239751517887,0
Node4,Node5,0,0,1587585068.121374,1587585068.331479,0.21010518074035645,4.759520905083149,0
Node5,Node6,0,0,1587585068.530884,1587585068.743427,0.21254301071166992,4.704930059340191,0
Node6,Node7,1,1,1587585068.939507,1587585069.160204,0.22069692611694336,4.531100716237968,0
Node7,Node8,1,1,1587585069.360831,1587585069.575958,0.21512699127197266,4.648417170190223,0
Node8,Node9,0,0,1587585069.7756538,1587585069.988023,0.21236920356750488,4.708780666882966,0
Node0,Node1,1,1,1587585071.885334,1587585072.103572,0.21823787689208984,4.58215601361656,0
Node1,Node2,0,0,1587585072.303908,1587585072.517778,0.21386981010437012,4.67574174920711,0
Node2,Node3,0,0,1587585072.715314,1587585072.933863,0.21854901313781738,4.575632649365469,0
Node3,Node4,1,1,1587585073.132291,1587585073.34226,0.20996880531311035,4.76261222951084,0
Node4,Node5,1,1,1587585073.542309,1587585073.7528121,0.21050310134887695,4.750523833578355,0
Node5,Node6,1,1,1587585073.949877,1587585074.161233,0.21135592460632324,4.7313554226720855,0
Node6,Node7,1,1,1587585074.356608,1587585074.569948,0.21334004402160645,4.687352552991519,0
Node7,Node8,0,0,1587585074.765431,1587585074.9761899,0.21075892448425293,4.74475755865188,0
Node8,Node9,1,1,1587585075.175576,1587585075.389449,0.21387290954589844,4.675673988459926,0
Node0,Node1,1,1,1587585213.9727428,1587585214.188145,0.21540212631225586,4.642479705842637,0
Node1,Node2,1,1,1587585214.380835,1587585214.5921972,0.21136212348937988,4.73121666025581,0
Node2,Node3,1,1,1587585214.7874691,1587585215.004538,0.21706891059875488,4.606831983638914,0
Node3,Node4,0,0,1587585215.194508,1587585215.4044118,0.20990371704101562,4.764089050431622,0
Node4,Node5,0,0,1587585215.600929,1587585215.812323,0.2113940715789795,4.730501629164125,0
Node5,Node6,1,1,1587585216.011441,1587585216.22501,0.21356892585754395,4.682329116863312,0
Node6,Node7,0,0,1587585216.423019,1587585216.633749,0.21073007583618164,4.745407109222438,0
Node7,Node8,1,1,1587585216.831987,1587585217.041613,0.2096261978149414,4.770396116628527,0
Node8,Node9,1,1,1587585217.2376168,1587585217.453044,0.21542716026306152,4.641940221367093,0
Node0,Node1,1,1,1587585265.116373,1587585265.330684,0.214310884475708,4.6661185802410765,0
Node1,Node2,0,0,1587585265.530399,1587585265.7401369,0.20973777770996094,4.767858279603139,0
Node2,Node3,1,1,1587585265.941795,1587585266.15121,0.20941495895385742,4.775208060568111,0
Node3,Node4,0,0,1587585266.3509948,1587585266.561553,0.21055817604064941,4.749281261853943,0
Node4,Node5,1,1,1587585266.758246,1587585266.9699378,0.21169185638427734,4.72384728009911,0
Node5,Node6,0,0,1587585267.170371,1587585267.37972,0.2093489170074463,4.776714464514909,0
Node6,Node7,1,1,1587585267.5864232,1587585267.794278,0.2078547477722168,4.81105200010094,0
Node7,Node8,1,1,1587585267.9933162,1587585268.20722,0.21390390396118164,4.674996488991036,0
Node8,Node9,0,0,1587585268.407587,1587585268.61777,0.21018290519714355,4.757760861008359,0
Node0,Node1,0,0,1587585295.6787589,1587585295.889378,0.21061921119689941,4.74790497180782,0
Node1,Node2,0,0,1587585296.086741,1587585296.298434,0.21169304847717285,4.723820679014084,0
Node2,Node3,0,0,1587585296.494737,1587585296.70776,0.21302318572998047,4.694324688522682,0
Node3,Node4,0,0,1587585296.90595,1587585297.117811,0.21186089515686035,4.720078234634131,0
Node4,Node5,0,0,1587585297.31488,1587585297.522845,0.20796513557434082,4.80849829582388,0
Node5,Node6,0,0,1587585297.717982,1587585297.928517,0.21053504943847656,4.749802955218742,0
Node6,Node7,1,1,1587585298.124894,1587585298.338113,0.21321916580200195,4.690009907123512,0
Node7,Node8,1,1,1587585298.536394,1587585298.7488372,0.21244335174560547,4.7071371816684096,0
Node8,Node9,0,0,1587585298.948044,1587585299.160477,0.212432861328125,4.707369630800172,0
