Total,Actual,# bits,% error
10,9,1,0.1
10,10,0,0.0
10,8,2,0.2
10,8,2,0.2
10,10,0,0.0
10,10,0,0.0
10,10,0,0.0
10,10,0,0.0
10,9,1,0.1
10,10,0,0.0
10,10,0,0.0
10,9,1,0.1
10,9,1,0.1
10,9,1,0.1
10,10,0,0.0
10,9,1,0.1
10,10,0,0.0
10,10,0,0.0
10,8,2,0.2
10,9,1,0.1
10,9,1,0.1
10,8,2,0.2
10,10,0,0.0
10,10,0,0.0
10,9,1,0.1
10,8,2,0.2
10,10,0,0.0
10,9,1,0.1
10,10,0,0.0
10,9,1,0.1
10,8,2,0.2
10,10,0,0.0
10,8,2,0.2
11,10,1,0.09090909090909091
12,8,4,0.3333333333333333
13,12,1,0.07692307692307693
14,14,0,0.0
15,14,1,0.06666666666666667
16,16,0,0.0
17,13,4,0.23529411764705882
18,17,1,0.05555555555555555
19,18,1,0.05263157894736842
20,18,2,0.1
21,11,10,0.47619047619047616
31,15,16,0.5161290322580645
10,9,1,0.1
10,7,3,0.3
10,10,0,0.0
10,9,1,0.1
11,8,3,0.2727272727272727
11,11,0,0.0
11,8,3,0.2727272727272727
11,9,2,0.18181818181818182
12,11,1,0.08333333333333333
12,12,0,0.0
12,11,1,0.08333333333333333
12,12,0,0.0
13,12,1,0.07692307692307693
13,12,1,0.07692307692307693
13,11,2,0.15384615384615385
13,11,2,0.15384615384615385
14,14,0,0.0
14,14,0,0.0
14,13,1,0.07142857142857142
14,13,1,0.07142857142857142
11,9,2,0.18181818181818182
11,11,0,0.0
11,10,1,0.09090909090909091
11,10,1,0.09090909090909091
12,12,0,0.0
12,10,2,0.16666666666666666
12,10,2,0.16666666666666666
12,11,1,0.08333333333333333
13,10,3,0.23076923076923078
13,12,1,0.07692307692307693
13,13,0,0.0
13,11,2,0.15384615384615385
14,12,2,0.14285714285714285
14,14,0,0.0
14,11,3,0.21428571428571427
14,14,0,0.0
15,14,1,0.06666666666666667
15,14,1,0.06666666666666667
15,13,2,0.13333333333333333
15,15,0,0.0
16,14,2,0.125
16,15,1,0.0625
16,15,1,0.0625
16,14,2,0.125
17,14,3,0.17647058823529413
17,16,1,0.058823529411764705
17,12,5,0.29411764705882354
17,15,2,0.11764705882352941
18,16,2,0.1111111111111111
18,18,0,0.0
18,15,3,0.16666666666666666
18,18,0,0.0
19,17,2,0.10526315789473684
19,19,0,0.0
19,17,2,0.10526315789473684
19,19,0,0.0
21,17,4,0.19047619047619047
21,19,2,0.09523809523809523
21,20,1,0.047619047619047616
21,20,1,0.047619047619047616
22,20,2,0.09090909090909091
22,20,2,0.09090909090909091
22,22,0,0.0
22,19,3,0.13636363636363635
23,22,1,0.043478260869565216
23,20,3,0.13043478260869565
23,20,3,0.13043478260869565
23,22,1,0.043478260869565216
24,21,3,0.125
24,22,2,0.08333333333333333
24,24,0,0.0
24,21,3,0.125
25,25,0,0.0
25,21,4,0.16
25,19,6,0.24
25,24,1,0.04
26,23,3,0.11538461538461539
26,21,5,0.19230769230769232
26,22,4,0.15384615384615385
26,26,0,0.0
27,26,1,0.037037037037037035
27,25,2,0.07407407407407407
27,24,3,0.1111111111111111
27,25,2,0.07407407407407407
28,26,2,0.07142857142857142
28,26,2,0.07142857142857142
28,24,4,0.14285714285714285
28,27,1,0.03571428571428571
29,28,1,0.034482758620689655
29,26,3,0.10344827586206896
29,28,1,0.034482758620689655
29,28,1,0.034482758620689655
30,27,3,0.1
30,24,6,0.2
30,26,4,0.13333333333333333
30,30,0,0.0
31,27,4,0.12903225806451613
31,29,2,0.06451612903225806
31,27,4,0.12903225806451613
31,24,7,0.22580645161290322
32,30,2,0.0625
32,29,3,0.09375
32,31,1,0.03125
32,30,2,0.0625
33,32,1,0.030303030303030304
33,32,1,0.030303030303030304
33,28,5,0.15151515151515152
33,33,0,0.0
34,32,2,0.058823529411764705
34,29,5,0.14705882352941177
34,33,1,0.029411764705882353
34,30,4,0.11764705882352941
35,33,2,0.05714285714285714
35,31,4,0.11428571428571428
35,34,1,0.02857142857142857
35,32,3,0.08571428571428572
36,33,3,0.08333333333333333
36,34,2,0.05555555555555555
36,33,3,0.08333333333333333
36,30,6,0.16666666666666666
37,33,4,0.10810810810810811
37,34,3,0.08108108108108109
37,36,1,0.02702702702702703
37,32,5,0.13513513513513514
38,33,5,0.13157894736842105
38,34,4,0.10526315789473684
38,35,3,0.07894736842105263
38,37,1,0.02631578947368421
39,38,1,0.02564102564102564
39,35,4,0.10256410256410256
39,34,5,0.1282051282051282
39,35,4,0.10256410256410256
41,36,5,0.12195121951219512
41,37,4,0.0975609756097561
41,38,3,0.07317073170731707
41,40,1,0.024390243902439025
42,37,5,0.11904761904761904
42,36,6,0.14285714285714285
42,40,2,0.047619047619047616
42,39,3,0.07142857142857142
43,36,7,0.16279069767441862
43,39,4,0.09302325581395349
43,37,6,0.13953488372093023
43,40,3,0.06976744186046512
44,41,3,0.06818181818181818
44,39,5,0.11363636363636363
44,42,2,0.045454545454545456
44,39,5,0.11363636363636363
45,42,3,0.06666666666666667
45,42,3,0.06666666666666667
45,39,6,0.13333333333333333
45,41,4,0.08888888888888889
46,40,6,0.13043478260869565
46,42,4,0.08695652173913043
46,39,7,0.15217391304347827
46,41,5,0.10869565217391304
47,46,1,0.02127659574468085
47,45,2,0.0425531914893617
47,38,9,0.19148936170212766
47,44,3,0.06382978723404255
48,42,6,0.125
48,44,4,0.08333333333333333
48,45,3,0.0625
48,45,3,0.0625
49,47,2,0.04081632653061224
49,40,9,0.1836734693877551
49,42,7,0.14285714285714285
49,44,5,0.10204081632653061
51,44,7,0.13725490196078433
51,48,3,0.058823529411764705
51,44,7,0.13725490196078433
51,45,6,0.11764705882352941
52,42,10,0.19230769230769232
52,46,6,0.11538461538461539
52,48,4,0.07692307692307693
52,43,9,0.17307692307692307
53,42,11,0.20754716981132076
53,50,3,0.05660377358490566
53,49,4,0.07547169811320754
53,46,7,0.1320754716981132
54,51,3,0.05555555555555555
54,50,4,0.07407407407407407
54,47,7,0.12962962962962962
54,51,3,0.05555555555555555
55,51,4,0.07272727272727272
55,46,9,0.16363636363636364
55,51,4,0.07272727272727272
55,54,1,0.01818181818181818
56,51,5,0.08928571428571429
56,53,3,0.05357142857142857
56,48,8,0.14285714285714285
56,50,6,0.10714285714285714
57,52,5,0.08771929824561403
57,54,3,0.05263157894736842
57,53,4,0.07017543859649122
57,52,5,0.08771929824561403
58,55,3,0.05172413793103448
58,50,8,0.13793103448275862
58,53,5,0.08620689655172414
58,55,3,0.05172413793103448
59,53,6,0.1016949152542373
59,55,4,0.06779661016949153
59,53,6,0.1016949152542373
59,55,4,0.06779661016949153
60,55,5,0.08333333333333333
60,56,4,0.06666666666666667
60,56,4,0.06666666666666667
60,58,2,0.03333333333333333
61,58,3,0.04918032786885246
61,55,6,0.09836065573770492
61,54,7,0.11475409836065574
61,56,5,0.08196721311475409
62,58,4,0.06451612903225806
62,51,11,0.1774193548387097
62,54,8,0.12903225806451613
62,58,4,0.06451612903225806
63,60,3,0.047619047619047616
63,59,4,0.06349206349206349
63,51,12,0.19047619047619047
63,59,4,0.06349206349206349
64,58,6,0.09375
64,57,7,0.109375
64,56,8,0.125
64,60,4,0.0625
65,60,5,0.07692307692307693
65,62,3,0.046153846153846156
65,59,6,0.09230769230769231
65,59,6,0.09230769230769231
66,63,3,0.045454545454545456
66,64,2,0.030303030303030304
66,61,5,0.07575757575757576
66,61,5,0.07575757575757576
67,62,5,0.07462686567164178
67,62,5,0.07462686567164178
67,61,6,0.08955223880597014
67,58,9,0.13432835820895522
68,64,4,0.058823529411764705
68,61,7,0.10294117647058823
68,57,11,0.16176470588235295
68,60,8,0.11764705882352941
69,63,6,0.08695652173913043
69,62,7,0.10144927536231885
69,64,5,0.07246376811594203
69,61,8,0.11594202898550725
10,9,1,0.1
10,8,2,0.2
10,10,0,0.0
10,10,0,0.0
11,10,1,0.09090909090909091
11,10,1,0.09090909090909091
11,11,0,0.0
11,10,1,0.09090909090909091
12,12,0,0.0
12,11,1,0.08333333333333333
12,10,2,0.16666666666666666
12,11,1,0.08333333333333333
13,12,1,0.07692307692307693
13,13,0,0.0
13,10,3,0.23076923076923078
13,11,2,0.15384615384615385
14,13,1,0.07142857142857142
14,13,1,0.07142857142857142
14,12,2,0.14285714285714285
14,11,3,0.21428571428571427
10,10,0,0.0
10,8,2,0.2
10,9,1,0.1
10,9,1,0.1
11,11,0,0.0
11,11,0,0.0
11,8,3,0.2727272727272727
11,11,0,0.0
12,11,1,0.08333333333333333
12,9,3,0.25
12,10,2,0.16666666666666666
12,11,1,0.08333333333333333
13,11,2,0.15384615384615385
13,12,1,0.07692307692307693
13,12,1,0.07692307692307693
13,12,1,0.07692307692307693
14,14,0,0.0
14,12,2,0.14285714285714285
14,13,1,0.07142857142857142
14,14,0,0.0
16,12,4,0.25
16,13,3,0.1875
16,12,4,0.25
16,13,3,0.1875
17,14,3,0.17647058823529413
17,14,3,0.17647058823529413
17,14,3,0.17647058823529413
17,16,1,0.058823529411764705
18,17,1,0.05555555555555555
18,16,2,0.1111111111111111
18,16,2,0.1111111111111111
18,16,2,0.1111111111111111
19,18,1,0.05263157894736842
19,17,2,0.10526315789473684
19,15,4,0.21052631578947367
19,16,3,0.15789473684210525
20,18,2,0.1
20,19,1,0.05
20,17,3,0.15
20,19,1,0.05
21,21,0,0.0
21,19,2,0.09523809523809523
21,17,4,0.19047619047619047
21,18,3,0.14285714285714285
22,22,0,0.0
22,18,4,0.18181818181818182
22,20,2,0.09090909090909091
22,21,1,0.045454545454545456
23,23,0,0.0
23,22,1,0.043478260869565216
23,18,5,0.21739130434782608
23,22,1,0.043478260869565216
24,21,3,0.125
24,24,0,0.0
24,23,1,0.041666666666666664
24,23,1,0.041666666666666664
25,22,3,0.12
25,24,1,0.04
25,21,4,0.16
25,22,3,0.12
26,24,2,0.07692307692307693
26,25,1,0.038461538461538464
26,24,2,0.07692307692307693
26,23,3,0.11538461538461539
27,24,3,0.1111111111111111
27,25,2,0.07407407407407407
27,25,2,0.07407407407407407
27,25,2,0.07407407407407407
28,26,2,0.07142857142857142
28,27,1,0.03571428571428571
28,24,4,0.14285714285714285
28,25,3,0.10714285714285714
29,28,1,0.034482758620689655
29,27,2,0.06896551724137931
29,26,3,0.10344827586206896
29,28,1,0.034482758620689655
30,26,4,0.13333333333333333
30,27,3,0.1
30,25,5,0.16666666666666666
30,30,0,0.0
10,10,0,0.0
10,9,1,0.1
10,8,2,0.2
10,10,0,0.0
11,11,0,0.0
11,8,3,0.2727272727272727
11,11,0,0.0
11,10,1,0.09090909090909091
12,11,1,0.08333333333333333
12,11,1,0.08333333333333333
12,11,1,0.08333333333333333
12,11,1,0.08333333333333333
13,11,2,0.15384615384615385
13,11,2,0.15384615384615385
13,11,2,0.15384615384615385
13,12,1,0.07692307692307693
14,11,3,0.21428571428571427
14,14,0,0.0
14,11,3,0.21428571428571427
14,13,1,0.07142857142857142
10,10,0,0.0
10,10,0,0.0
10,9,1,0.1
10,10,0,0.0
11,9,2,0.18181818181818182
11,8,3,0.2727272727272727
11,9,2,0.18181818181818182
11,11,0,0.0
12,11,1,0.08333333333333333
12,11,1,0.08333333333333333
12,12,0,0.0
12,10,2,0.16666666666666666
13,12,1,0.07692307692307693
13,11,2,0.15384615384615385
13,10,3,0.23076923076923078
13,13,0,0.0
14,13,1,0.07142857142857142
14,12,2,0.14285714285714285
14,13,1,0.07142857142857142
14,13,1,0.07142857142857142
10,10,0,0.0
10,10,0,0.0
10,9,1,0.1
10,10,0,0.0
11,11,0,0.0
11,11,0,0.0
11,11,0,0.0
11,11,0,0.0
12,11,1,0.08333333333333333
12,12,0,0.0
12,12,0,0.0
12,12,0,0.0
13,13,0,0.0
13,13,0,0.0
13,13,0,0.0
13,13,0,0.0
14,14,0,0.0
14,13,1,0.07142857142857142
14,13,1,0.07142857142857142
14,14,0,0.0
